regulator,raw_r,partial_r_ctrl_inflammation,partial_p,n_bound
TEAD4,-0.4198634465114128,-0.36855331284766396,0.00030054764792608883,7
MYC,-0.2692693001248401,-0.22217364179189558,0.033290850017442315,10
TP63,-0.05351170568561873,-0.0721662177940498,0.4942138627983213,7
BHLHE40,-0.11810489650601852,-0.043744777778840956,0.678839962299767,8
ELF3,-0.40380376986267585,-0.03973609916351797,0.7068628271619232,7
CEBPB,-0.19066627622027338,0.02166620796348628,0.8375739775063072,10
STAT3,-0.21309125656951744,0.11298695113451643,0.2835612776620161,6
