name,smiles,aryl,core,linker,warhead,MW,logP,QED,nRot,sim_parent
gen_OCF3-p_7-deaz_pyrr_propi,C#CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,7-deazapurine,pyrrolidine,propiolamide,400.4,1.58,0.778,2,0.297
gen_OCF3-p_7-deaz_pyrr_acety,CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,7-deazapurine,pyrrolidine,acetyl,390.4,1.97,0.852,2,0.322
gen_OCF3-p_7-deaz_pyrr_cyclo,O=C(C1CC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,7-deazapurine,pyrrolidine,cyclopropanecarbonyl,416.4,2.36,0.835,3,0.303
gen_OCF3-p_7-deaz_pipe_acryl,C=CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,7-deazapurine,piperidine,acrylamide,416.4,2.53,0.782,3,0.384
gen_OCF3-p_7-deaz_pipe_cyclo,O=C(C1=CCC1)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,7-deazapurine,piperidine,cyclobutenylamide,442.4,3.06,0.794,3,0.368
gen_OCF3-p_7-deaz_pipe_fluor,C=C(F)C(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,7-deazapurine,piperidine,fluoroacrylamide,434.4,2.82,0.596,3,0.308
gen_OCF3-p_7-deaz_pipe_propi,C#CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,7-deazapurine,piperidine,propiolamide,414.4,1.97,0.764,2,0.293
gen_OCF3-p_7-deaz_pipe_acety,CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,7-deazapurine,piperidine,acetyl,404.4,2.36,0.835,2,0.318
gen_OCF3-p_7-deaz_pipe_cyclo,O=C(C1CC1)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,7-deazapurine,piperidine,cyclopropanecarbonyl,430.4,2.75,0.814,3,0.3
gen_OCF3-p_thieno_azet_acryl,C=CC(=O)N1CC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,azetidine,acrylamide,405.4,2.48,0.737,3,0.418
gen_OCF3-p_thieno_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,azetidine,cyclobutenylamide,431.4,3.01,0.75,3,0.402
gen_OCF3-p_thieno_azet_fluor,C=C(F)C(=O)N1CC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,azetidine,fluoroacrylamide,423.4,2.78,0.563,3,0.333
gen_OCF3-p_thieno_azet_propi,C#CC(=O)N1CC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,azetidine,propiolamide,403.4,1.93,0.72,2,0.318
gen_OCF3-p_thieno_azet_acety,CC(=O)N1CC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,azetidine,acetyl,393.4,2.31,0.786,2,0.329
gen_OCF3-p_thieno_azet_cyclo,O=C(C1CC1)N1CC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,azetidine,cyclopropanecarbonyl,419.4,2.7,0.768,3,0.321
gen_OCF3-p_thieno_pyrr_acryl,C=CC(=O)N1CCC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,pyrrolidine,acrylamide,419.4,2.87,0.719,3,0.39
gen_OCF3-p_thieno_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,pyrrolidine,cyclobutenylamide,445.5,3.4,0.727,3,0.376
gen_OCF3-p_thieno_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,pyrrolidine,fluoroacrylamide,437.4,3.17,0.547,3,0.311
gen_OCF3-p_thieno_pyrr_propi,C#CC(=O)N1CCC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,pyrrolidine,propiolamide,417.4,2.32,0.705,2,0.297
gen_OCF3-p_thieno_pyrr_acety,CC(=O)N1CCC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,pyrrolidine,acetyl,407.4,2.7,0.769,2,0.322
