rank,gene,axis,log2FC,log2FC_GSE121212,log2FC_AD,psoriasis_specificity,ot_overall,ot_genetic,gwas_hit,gwas_min_pexp,gwas_n_assoc,ot_known_drug,priority_score
1,DEFB4A,inflammatory_up,10.56723703476101,7.584955205621082,2.897916557955001,7.669320476806009,0.08563441132924539,0.0,0,0,0,0.0,0.4748645962883921
2,PI3,inflammatory_up,9.40574294439242,7.707967033808098,3.8846880646264736,5.521054879765945,0.10224856365452027,0.0,0,0,0,0.0,0.4028112291150021
3,LCE3A,inflammatory_up,7.548314325934708,5.482222951054808,4.461781198553954,3.086533127380754,0.1579920100577183,0.23623149007998068,1,-33,3,0.0,0.3573382309283505
4,IFIH1,inflammatory_up,1.2510940380820346,1.281536268951787,0.8528082380461273,0.3982858000359073,0.5894879288031357,0.767743422000055,1,-20,6,0.0,0.343128453681433
5,S100A9,inflammatory_up,8.914321101645678,8.836172413670429,6.326190930420938,2.58813017122474,0.1142590320531209,0.0,0,0,0,0.0,0.3321232752266283
6,NOD2,inflammatory_up,1.4478119317565057,1.5266166209504952,1.2647579895014838,0.1830539422550217,0.3372639014975483,0.5386980207573514,1,-320,2,0.0,0.33033956792191677
7,FUT2,inflammatory_up,1.8916039625121377,2.0491765949403065,1.4047048254701218,0.4868991370420159,0.4723315585576433,0.7651249182212362,1,-17,1,0.0,0.31462756527576974
8,S100A8,inflammatory_up,8.384484076232791,8.785538359408925,6.18047398725071,2.204010088982081,0.11517709321906806,0.0,0,0,0,0.0,0.3089753050157308
9,S100A7A,inflammatory_up,8.11466103322923,9.020455755385814,5.642696526092096,2.471964507137135,0.09779805191390399,0.0,0,0,0,0.0,0.29959343434356966
10,SPRR2F,inflammatory_up,6.9517046908616615,7.218061578469907,2.4902070208098617,4.4614976700518,0.06182460981030454,0.0,0,0,0,0.0,0.2924216241784532
11,IRF1,inflammatory_up,1.0282558960714687,1.4852510322637338,1.4836316637585414,-0.4553757676870726,0.4432636016594114,0.7178025373794985,1,-55,2,0.0,0.28618598888581326
12,SERPINB4,inflammatory_up,8.314470579460608,9.206546966927275,6.929613331571201,1.384857247889406,0.08934901304103682,0.0,0,0,0,0.0,0.27931921179769104
13,PRDM1,inflammatory_up,1.353884648283243,0.8658369044261631,0.3989051134818897,0.9549795348013532,0.41313895728934524,0.6674675501150801,1,-21,1,0.0,0.27588084535033097
14,S100A12,inflammatory_up,5.831978088265097,4.503837511676865,1.4495378459446118,4.382440242320485,0.09270752660476905,0.0,0,0,0,0.0,0.2705736755064408
15,S100A7,inflammatory_up,7.833076116409313,8.384089635714261,6.484291397545971,1.3487847188633415,0.09300890157664171,0.0,0,0,0,0.0,0.26596729080103526
16,CXCR2,inflammatory_up,1.8713026464590468,1.9863324300215548,0.1016670794331515,1.7696355670258952,0.35691801678546864,0.5454881184888729,0,0,0,0.0,0.26454733594198915
