name,smiles,vina,aryl,core,linker,warhead,MW,QED,sim_parent
gen_biphen_7-deaz_pyrr_cyclo,O=C(C1CC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.246,biphenyl,7-deazapurine,pyrrolidine,cyclopropanecarbonyl,408.5,0.711,0.17
gen_biphen_thieno_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3sccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.227,biphenyl,thienopyrimidine,pyrrolidine,cyclobutenylamide,437.6,0.607,0.233
gen_SF5-ph_7-deaz_pyrr_acety,CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.215,SF5-phenyl,7-deazapurine,pyrrolidine,acetyl,432.4,0.723,0.191
"gen_Cl,F-p_7-deaz_pipe_cyclo",O=C(C1=CCC1)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.21,"Cl,F-phenyl",7-deazapurine,piperidine,cyclobutenylamide,410.9,0.813,0.227
gen_OCF3-p_thieno_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,-7.209,OCF3-phenyl,thienopyrimidine,pyrrolidine,cyclobutenylamide,445.5,0.727,0.376
gen_biphen_7-deaz_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.208,biphenyl,7-deazapurine,pyrrolidine,fluoroacrylamide,412.5,0.66,0.189
"gen_Cl,F-p_7-deaz_azet_fluor",C=C(F)C(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.172,"Cl,F-phenyl",7-deazapurine,azetidine,fluoroacrylamide,374.8,0.802,0.179
gen_biphen_7-deaz_azet_acryl,C=CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.171,biphenyl,7-deazapurine,azetidine,acrylamide,380.5,0.698,0.247
gen_pyridy_thieno_azet_acety,CC(=O)N1CC2CN=c3sccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.166,pyridyl-CF3,thienopyrimidine,azetidine,acetyl,378.4,0.76,0.194
gen_pyridy_7-deaz_azet_acety,CC(=O)N1CC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.16,pyridyl-CF3,7-deazapurine,azetidine,acetyl,361.3,0.826,0.189
gen_pyridy_thieno_pipe_cyclo,O=C(C1=CCC1)N1CCC2CCN=c3sccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.158,pyridyl-CF3,thienopyrimidine,piperidine,cyclobutenylamide,444.5,0.714,0.235
gen_CF3-ph_7-deaz_pipe_propi,C#CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-7.158,CF3-phenyl,7-deazapurine,piperidine,propiolamide,398.4,0.735,0.196
gen_SF5-ph_7-deaz_pyrr_cyclo,O=C(C1CC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.151,SF5-phenyl,7-deazapurine,pyrrolidine,cyclopropanecarbonyl,458.5,0.692,0.177
gen_OCF3-p_thieno_azet_cyclo,O=C(C1CC1)N1CC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,-7.148,OCF3-phenyl,thienopyrimidine,azetidine,cyclopropanecarbonyl,419.4,0.768,0.321
gen_SF5-ph_7-deaz_pipe_acety,CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.127,SF5-phenyl,7-deazapurine,piperidine,acetyl,446.4,0.694,0.189
gen_pyridy_7-deaz_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.106,pyridyl-CF3,7-deazapurine,pyrrolidine,fluoroacrylamide,405.4,0.613,0.188
gen_SF5-ph_9Me-pu_pyrr_cyclo,Cn1cnc2c1=NCC1CCN(C(=O)C3=CCC3)C1=NC=2c1ccc(S(F)(F)(F)(F)F)cc1,-7.106,SF5-phenyl,9Me-purine,pyrrolidine,cyclobutenylamide,485.5,0.621,0.318
"gen_Cl,F-p_7-deaz_azet_acety",CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.105,"Cl,F-phenyl",7-deazapurine,azetidine,acetyl,344.8,0.836,0.181
gen_biphen_7-deaz_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.061,biphenyl,7-deazapurine,azetidine,cyclobutenylamide,406.5,0.714,0.253
gen_CF3-ph_9Me-pu_pyrr_propi,C#CC(=O)N1CCC2CN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,-7.055,CF3-phenyl,9Me-purine,pyrrolidine,propiolamide,399.4,0.675,0.272
gen_pyridy_7-deaz_pyrr_acryl,C=CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.054,pyridyl-CF3,7-deazapurine,pyrrolidine,acrylamide,387.4,0.796,0.25
gen_biphen_9Me-pu_azet_cyclo,Cn1cnc2c1=NCC1CN(C(=O)C3=CCC3)C1=NC=2c1ccc(-c2ccccc2)cc1,-7.052,biphenyl,9Me-purine,azetidine,cyclobutenylamide,421.5,0.652,0.337
"gen_Cl,F-p_7-deaz_pyrr_cyclo",O=C(C1CC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.04,"Cl,F-phenyl",7-deazapurine,pyrrolidine,cyclopropanecarbonyl,384.8,0.848,0.172
gen_biphen_thieno_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3sccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-7.037,biphenyl,thienopyrimidine,azetidine,cyclobutenylamide,423.5,0.632,0.253
gen_SF5-ph_thieno_pyrr_propi,C#CC(=O)N1CCC2CN=c3sccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-7.029,SF5-phenyl,thienopyrimidine,pyrrolidine,propiolamide,459.5,0.493,0.173
gen_CF3-ph_7-deaz_azet_propi,C#CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-7.025,CF3-phenyl,7-deazapurine,azetidine,propiolamide,370.3,0.756,0.198
gen_CF3-ph_7-deaz_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-7.014,CF3-phenyl,7-deazapurine,pyrrolidine,fluoroacrylamide,404.4,0.607,0.211
gen_pyridy_9Me-pu_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3c(ncn3C)=C(c3cc(C(F)(F)F)ccn3)N=C21,-7.011,pyridyl-CF3,9Me-purine,pyrrolidine,fluoroacrylamide,420.4,0.544,0.247
"gen_Cl,F-p_7-deaz_pyrr_acryl",C=CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.007,"Cl,F-phenyl",7-deazapurine,pyrrolidine,acrylamide,370.8,0.808,0.242
"gen_Cl,F-p_thieno_azet_propi",C#CC(=O)N1CC2CN=c3sccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.005,"Cl,F-phenyl",thienopyrimidine,azetidine,propiolamide,371.8,0.705,0.179
gen_CF3-ph_7-deaz_pyrr_propi,C#CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-7.004,CF3-phenyl,7-deazapurine,pyrrolidine,propiolamide,384.4,0.748,0.198
"gen_Cl,F-p_7-deaz_pyrr_propi",C#CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-7.003,"Cl,F-phenyl",7-deazapurine,pyrrolidine,propiolamide,368.8,0.761,0.168
gen_SF5-ph_7-deaz_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-6.997,SF5-phenyl,7-deazapurine,azetidine,cyclobutenylamide,456.4,0.697,0.258
gen_biphen_7-deaz_azet_acety,CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-6.971,biphenyl,7-deazapurine,azetidine,acetyl,368.4,0.742,0.18
gen_pyridy_thieno_azet_acryl,C=CC(=O)N1CC2CN=c3sccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-6.958,pyridyl-CF3,thienopyrimidine,azetidine,acrylamide,390.4,0.737,0.267
"gen_Cl,F-p_7-deaz_pyrr_fluor",C=C(F)C(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.945,"Cl,F-phenyl",7-deazapurine,pyrrolidine,fluoroacrylamide,388.8,0.789,0.18
gen_pyridy_7-deaz_pipe_acryl,C=CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-6.942,pyridyl-CF3,7-deazapurine,piperidine,acrylamide,401.4,0.783,0.247
gen_CN-phe_thieno_azet_cyclo,N#Cc1ccc(C2=c3ccsc3=NCC3CN(C(=O)C4=CCC4)C3=N2)cc1,-6.94,CN-phenyl,thienopyrimidine,azetidine,cyclobutenylamide,372.5,0.809,0.244
gen_SF5-ph_thieno_azet_propi,C#CC(=O)N1CC2CN=c3sccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-6.938,SF5-phenyl,thienopyrimidine,azetidine,propiolamide,445.4,0.514,0.185
gen_SF5-ph_9Me-pu_pipe_cyclo,Cn1cnc2c1=NCCC1CCN(C(=O)C3CC3)C1=NC=2c1ccc(S(F)(F)(F)(F)F)cc1,-6.937,SF5-phenyl,9Me-purine,piperidine,cyclopropanecarbonyl,487.5,0.617,0.247
gen_SF5-ph_7-deaz_pipe_acryl,C=CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-6.924,SF5-phenyl,7-deazapurine,piperidine,acrylamide,458.5,0.542,0.247
gen_CF3-ph_thieno_azet_propi,C#CC(=O)N1CC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-6.922,CF3-phenyl,thienopyrimidine,azetidine,propiolamide,387.4,0.691,0.211
gen_SF5-ph_7-deaz_pyrr_acryl,C=CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-6.916,SF5-phenyl,7-deazapurine,pyrrolidine,acrylamide,444.4,0.567,0.25
gen_SF5-ph_7-deaz_azet_cyclo,O=C(C1CC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-6.907,SF5-phenyl,7-deazapurine,azetidine,cyclopropanecarbonyl,444.4,0.721,0.174
"gen_Cl,F-p_7-deaz_pyrr_acety",CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.898,"Cl,F-phenyl",7-deazapurine,pyrrolidine,acetyl,358.8,0.831,0.186
gen_pyridy_thieno_azet_propi,C#CC(=O)N1CC2CN=c3sccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-6.897,pyridyl-CF3,thienopyrimidine,azetidine,propiolamide,388.4,0.695,0.188
"gen_Cl,F-p_thieno_pyrr_acety",CC(=O)N1CCC2CN=c3sccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.885,"Cl,F-phenyl",thienopyrimidine,pyrrolidine,acetyl,375.9,0.755,0.186
gen_OCHF2-_7-deaz_pyrr_acryl,C=CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(OC(F)F)cc3)N=C21,-6.875,OCHF2-phenyl,7-deazapurine,pyrrolidine,acrylamide,384.4,0.818,0.283
gen_CF3-ph_7-deaz_azet_acryl,C=CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-6.874,CF3-phenyl,7-deazapurine,azetidine,acrylamide,372.4,0.804,0.282
gen_SF5-ph_thieno_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3sccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-6.873,SF5-phenyl,thienopyrimidine,pyrrolidine,cyclobutenylamide,487.5,0.552,0.239
gen_SF5-ph_thieno_azet_acryl,C=CC(=O)N1CC2CN=c3sccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-6.854,SF5-phenyl,thienopyrimidine,azetidine,acrylamide,447.5,0.513,0.267
gen_pyridy_7-deaz_pipe_acety,CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-6.849,pyridyl-CF3,7-deazapurine,piperidine,acetyl,389.4,0.809,0.192
gen_CF3-ph_7-deaz_azet_cyclo,O=C(C1CC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-6.845,CF3-phenyl,7-deazapurine,azetidine,cyclopropanecarbonyl,386.4,0.844,0.202
"gen_Cl,F-p_thieno_azet_fluor",C=C(F)C(=O)N1CC2CN=c3sccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.838,"Cl,F-phenyl",thienopyrimidine,azetidine,fluoroacrylamide,391.8,0.726,0.191
"gen_Cl,F-p_thieno_azet_cyclo",O=C(C1=CCC1)N1CC2CN=c3sccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.834,"Cl,F-phenyl",thienopyrimidine,azetidine,cyclobutenylamide,399.9,0.765,0.25
